"","treatment","woreAnticonflictWristband","studentID","eligible","hasOlderSiblings","friend1","friend2","friend3","friend4","friend5","friend6","friend7","friend8","friend9","friend10","grade","black","female","school_id","student_block","hasCellphone","hasCollegePlan","hispanic"
"4907",1,1,"SCHID27_STID84",1,1,"SCHID27_STID91","SCHID27_STID98","SCHID27_STID226","SCHID27_STID83","SCHID27_STID81","SCHID27_STID121","SCHID27_STID90","SCHID27_STID77","SCHID27_STID128","SCHID27_STID44",6,0,1,27,3,1,1,0
"4908",0,1,"SCHID27_STID86",0,0,"SCHID27_STID64","SCHID27_STID94","SCHID27_STID42","SCHID27_STID89","SCHID27_STID69","SCHID27_STID72","SCHID27_STID65","SCHID27_STID91","SCHID27_STID83","SCHID27_STID75",6,0,1,27,0,1,1,0
"4909",0,NA,"SCHID27_STID87",0,1,"SCHID27_STID93","SCHID27_STID90","SCHID27_STID82","SCHID27_STID77","SCHID27_STID76","SCHID27_STID65","SCHID27_STID68","SCHID27_STID71","SCHID27_STID79","SCHID27_STID70",6,1,1,27,0,1,1,0
"4910",0,1,"SCHID27_STID88",0,0,"SCHID27_STID68","SCHID27_STID71","SCHID27_STID89","SCHID27_STID78","SCHID27_STID85","SCHID27_STID130","SCHID27_STID128",NA,NA,NA,6,0,1,27,0,1,1,0
"4911",0,1,"SCHID27_STID89",0,1,"SCHID27_STID63","SCHID27_STID75","SCHID27_STID83","SCHID27_STID85","SCHID27_STID86","SCHID27_STID88","SCHID27_STID91","SCHID27_STID61",NA,NA,6,0,1,27,0,0,1,0
"4912",0,1,"SCHID27_STID90",0,0,"SCHID27_STID76","SCHID27_STID77","SCHID27_STID114","SCHID27_STID105","SCHID27_STID121","SCHID27_STID74","SCHID27_STID64","SCHID27_STID70","SCHID27_STID85","SCHID27_STID91",6,0,1,27,0,1,1,0
"4913",0,0,"SCHID27_STID91",0,0,"SCHID27_STID71","SCHID27_STID83","SCHID27_STID75","SCHID27_STID121","SCHID27_STID78","SCHID27_STID90","SCHID27_STID85","SCHID27_STID67","SCHID27_STID68","SCHID27_STID89",6,0,1,27,0,1,1,0
"4914",0,0,"SCHID27_STID92",0,1,"SCHID27_STID65","SCHID27_STID72","SCHID27_STID69","SCHID27_STID86","SCHID27_STID95","SCHID27_STID82","SCHID27_STID93","SCHID27_STID64",NA,NA,6,NA,1,27,0,0,1,NA
"4915",0,1,"SCHID27_STID93",1,1,"SCHID27_STID82","SCHID27_STID64","SCHID27_STID95","SCHID27_STID65","SCHID27_STID80","SCHID27_STID92",NA,NA,NA,NA,6,0,1,27,3,NA,1,0
"4916",1,NA,"SCHID27_STID94",1,0,"SCHID27_STID64","SCHID27_STID86","SCHID27_STID67","SCHID27_STID66","SCHID27_STID70","SCHID27_STID72","SCHID27_STID85","SCHID27_STID90","SCHID27_STID91","SCHID27_STID95",6,0,1,27,3,1,1,0
"4917",0,1,"SCHID27_STID95",0,1,"SCHID27_STID69","SCHID27_STID82","SCHID27_STID93","SCHID27_STID72","SCHID27_STID92","SCHID27_STID65",NA,NA,NA,NA,6,0,1,27,0,NA,1,0
"4918",0,0,"SCHID27_STID96",0,0,"SCHID27_STID97","SCHID27_STID104","SCHID27_STID100","SCHID27_STID124",NA,NA,NA,NA,NA,NA,6,0,0,27,0,NA,1,0
"4919",0,1,"SCHID27_STID97",0,1,"SCHID27_STID116","SCHID27_STID123","SCHID27_STID104","SCHID27_STID77",NA,NA,NA,NA,NA,NA,6,0,0,27,0,1,0,0
"4920",1,1,"SCHID27_STID98",1,1,"SCHID27_STID84","SCHID27_STID114","SCHID27_STID105","SCHID27_STID76","SCHID27_STID90","SCHID27_STID121","SCHID27_STID124","SCHID27_STID161","SCHID27_STID246","SCHID27_STID91",6,1,0,27,3,1,1,0
"4921",0,0,"SCHID27_STID99",1,1,"SCHID27_STID100","SCHID27_STID116","SCHID27_STID97","SCHID27_STID113","SCHID27_STID62","SCHID27_STID243",NA,NA,NA,NA,6,0,0,27,3,0,0,0
"4922",0,0,"SCHID27_STID100",0,1,"SCHID27_STID99","SCHID27_STID110","SCHID27_STID77","SCHID27_STID113","SCHID27_STID104","SCHID27_STID103","SCHID27_STID62","SCHID27_STID95","SCHID27_STID101","SCHID27_STID111",6,0,0,27,0,1,1,0
"4923",0,0,"SCHID27_STID101",0,1,"SCHID27_STID121","SCHID27_STID91","SCHID27_STID64","SCHID27_STID120","SCHID27_STID124","SCHID27_STID102","SCHID27_STID86","SCHID27_STID92","SCHID27_STID106","SCHID27_STID90",6,0,0,27,0,0,1,1
"4924",0,0,"SCHID27_STID102",0,1,"SCHID27_STID106","SCHID27_STID110","SCHID27_STID104","SCHID27_STID101","SCHID27_STID111",NA,NA,NA,NA,NA,6,0,0,27,0,1,1,0
"4925",0,NA,"SCHID27_STID103",0,1,"SCHID27_STID105","SCHID27_STID120","SCHID27_STID98","SCHID27_STID124","SCHID27_STID116","SCHID27_STID114",NA,NA,NA,NA,6,0,0,27,0,1,0,0
"4926",0,1,"SCHID27_STID104",0,1,"SCHID27_STID116","SCHID27_STID97","SCHID27_STID253","SCHID27_STID123",NA,NA,NA,NA,NA,NA,6,0,0,27,0,1,1,0
"4927",0,1,"SCHID27_STID105",0,0,"SCHID27_STID120","SCHID27_STID114","SCHID27_STID122","SCHID27_STID121","SCHID27_STID98","SCHID27_STID91","SCHID27_STID90","SCHID27_STID85","SCHID27_STID71","SCHID27_STID111",6,0,0,27,0,0,1,0
"4928",0,1,"SCHID27_STID106",0,1,"SCHID27_STID102","SCHID27_STID110","SCHID27_STID113","SCHID27_STID101","SCHID27_STID114","SCHID27_STID105","SCHID27_STID121","SCHID27_STID120","SCHID27_STID124","SCHID27_STID122",6,0,0,27,0,1,0,0
"4929",0,0,"SCHID27_STID107",0,1,"SCHID27_STID109","SCHID27_STID112","SCHID27_STID110","SCHID27_STID166","SCHID27_STID98","SCHID27_STID114",NA,NA,NA,NA,6,0,0,27,0,0,1,1
"4930",0,NA,"SCHID27_STID108",0,1,"SCHID27_STID187","SCHID27_STID194","SCHID27_STID119",NA,NA,NA,NA,NA,NA,NA,6,1,0,27,0,1,1,0
"4931",0,NA,"SCHID27_STID110",0,1,"SCHID27_STID98","SCHID27_STID106","SCHID27_STID69","SCHID27_STID102","SCHID27_STID90","SCHID27_STID111","SCHID27_STID100","SCHID27_STID101","SCHID27_STID104","SCHID27_STID116",6,0,0,27,0,1,1,0
"4932",0,NA,"SCHID27_STID111",0,0,"SCHID27_STID97","SCHID27_STID105","SCHID27_STID116","SCHID27_STID98","SCHID27_STID30","SCHID27_STID85","SCHID27_STID114","SCHID27_STID103","SCHID27_STID106","SCHID27_STID113",6,0,0,27,0,NA,1,1
"4933",0,1,"SCHID27_STID112",0,0,"SCHID27_STID104","SCHID27_STID166","SCHID27_STID206","SCHID27_STID107","SCHID27_STID167","SCHID27_STID207","SCHID27_STID119","SCHID27_STID168","SCHID27_STID214","SCHID27_STID160",6,1,0,27,0,1,1,0
"4934",0,0,"SCHID27_STID113",0,0,"SCHID27_STID100","SCHID27_STID121","SCHID27_STID98","SCHID27_STID111","SCHID27_STID110","SCHID27_STID84","SCHID27_STID179","SCHID27_STID106","SCHID27_STID77",NA,6,0,0,27,0,1,0,0
"4935",0,1,"SCHID27_STID114",0,0,"SCHID27_STID121","SCHID27_STID85","SCHID27_STID90","SCHID27_STID98","SCHID27_STID105","SCHID27_STID120","SCHID27_STID43","SCHID27_STID123","SCHID27_STID122","SCHID27_STID266",6,0,0,27,0,NA,1,1
"4936",0,1,"SCHID27_STID115",0,0,"SCHID27_STID118","SCHID27_STID121","SCHID27_STID--blank--",NA,NA,NA,NA,NA,NA,NA,6,0,0,27,0,1,1,0
"4937",0,1,"SCHID27_STID116",0,1,"SCHID27_STID97","SCHID27_STID104","SCHID27_STID120","SCHID27_STID123","SCHID27_STID124",NA,NA,NA,NA,NA,6,0,0,27,0,1,1,0
"4938",0,1,"SCHID27_STID117",0,1,"SCHID27_STID118","SCHID27_STID185","SCHID27_STID--blank--",NA,NA,NA,NA,NA,NA,NA,6,0,0,27,0,0,1,0
"4939",0,1,"SCHID27_STID118",0,1,"SCHID27_STID115","SCHID27_STID117","SCHID27_STID--blank--",NA,NA,NA,NA,NA,NA,NA,6,0,0,27,0,0,1,0
"4940",0,0,"SCHID27_STID119",0,1,"SCHID27_STID57","SCHID27_STID55","SCHID27_STID101","SCHID27_STID109","SCHID27_STID61","SCHID27_STID164","SCHID27_STID187","SCHID27_STID99","SCHID27_STID98","SCHID27_STID26",6,0,0,27,0,0,0,0
"4941",0,1,"SCHID27_STID120",0,1,"SCHID27_STID114","SCHID27_STID105","SCHID27_STID98","SCHID27_STID121","SCHID27_STID124","SCHID27_STID122","SCHID27_STID97","SCHID27_STID99","SCHID27_STID101","SCHID27_STID113",6,0,0,27,0,1,1,0
"4942",0,1,"SCHID27_STID121",0,1,"SCHID27_STID114","SCHID27_STID91","SCHID27_STID85","SCHID27_STID98","SCHID27_STID120","SCHID27_STID101","SCHID27_STID113","SCHID27_STID90",NA,NA,6,0,0,27,0,1,1,1
"4943",0,0,"SCHID27_STID122",0,0,"SCHID27_STID114","SCHID27_STID105","SCHID27_STID120","SCHID27_STID98","SCHID27_STID101","SCHID27_STID124","SCHID27_STID113","SCHID27_STID121","SCHID27_STID103","SCHID27_STID106",6,0,0,27,0,0,1,0
"4944",0,0,"SCHID27_STID123",0,1,"SCHID27_STID97","SCHID27_STID116","SCHID27_STID104","SCHID27_STID114","SCHID27_STID105","SCHID27_STID77","SCHID27_STID120","SCHID27_STID122","SCHID27_STID124","SCHID27_STID113",6,0,0,27,0,0,1,0
"4945",0,0,"SCHID27_STID124",0,1,"SCHID27_STID231","SCHID27_STID153","SCHID27_STID--blank--",NA,NA,NA,NA,NA,NA,NA,6,1,0,27,0,1,1,0
"4946",0,1,"SCHID27_STID125",0,0,"SCHID27_STID128","SCHID27_STID141","SCHID27_STID129","SCHID27_STID145","SCHID27_STID134","SCHID27_STID130","SCHID27_STID150","SCHID27_STID144","SCHID27_STID146","SCHID27_STID168",7,0,1,27,0,1,1,1
"4947",0,1,"SCHID27_STID126",0,0,"SCHID27_STID153","SCHID27_STID231","SCHID27_STID125","SCHID27_STID141","SCHID27_STID129","SCHID27_STID130","SCHID27_STID134","SCHID27_STID139","SCHID27_STID144","SCHID27_STID151",7,0,1,27,0,1,1,1
"4948",0,1,"SCHID27_STID127",0,1,"SCHID27_STID139","SCHID27_STID153","SCHID27_STID152","SCHID27_STID161","SCHID27_STID163","SCHID27_STID126","SCHID27_STID147","SCHID27_STID134","SCHID27_STID129","SCHID27_STID237",7,0,1,27,0,0,1,1
"4949",0,NA,"SCHID27_STID128",0,1,"SCHID27_STID125","SCHID27_STID129","SCHID27_STID130","SCHID27_STID227",NA,NA,NA,NA,NA,NA,7,0,1,27,0,1,1,0
"4950",0,1,"SCHID27_STID130",0,0,"SCHID27_STID141","SCHID27_STID150","SCHID27_STID129","SCHID27_STID128","SCHID27_STID134","SCHID27_STID125","SCHID27_STID145",NA,NA,NA,7,0,1,27,0,1,1,0
"4951",1,1,"SCHID27_STID132",1,0,"SCHID27_STID50","SCHID27_STID148","SCHID27_STID138","SCHID27_STID135","SCHID27_STID147","SCHID27_STID134","SCHID27_STID141",NA,NA,NA,7,NA,1,27,2,1,1,NA
